,ep,explo,year,biomass_g,blue,green,red,nir,nirb,re1,re2,re3,swir1,swir2
169,AEG20,ALB,2018,283.0,343.0,770.0,397.0,5151.0,4903.0,1222.0,3823.0,4675.0,2291.0,1047.0
170,AEG21,ALB,2018,198.0,343.5,694.0,458.5,4283.0,4054.5,1069.5,3221.0,3902.5,2103.0,980.0
171,AEG22,ALB,2018,119.5,464.0,808.0,575.0,4757.0,4375.0,1275.0,3663.0,4349.0,2314.0,1060.0
172,AEG23,ALB,2018,265.0,302.5,626.5,362.0,4719.0,4578.5,984.5,3497.5,4343.5,1848.5,800.5
173,AEG24,ALB,2018,268.0,316.0,691.0,410.5,5164.0,5080.0,1046.5,3775.5,4832.0,1877.5,815.5
174,AEG25,ALB,2018,33.5,540.0,845.5,829.0,3493.0,3194.0,1361.0,2654.5,3071.0,2698.0,1484.0
175,AEG26,ALB,2018,50.0,515.0,836.0,768.0,3546.0,3314.0,1404.0,2729.0,3129.0,2659.0,1385.0
176,AEG27,ALB,2018,64.5,665.0,1023.5,974.5,3824.0,3645.0,1598.5,3007.5,3417.5,2789.0,1505.0
177,AEG28,ALB,2018,69.5,561.0,915.0,800.0,3891.5,3721.0,1440.0,3036.0,3511.0,2748.5,1422.0
178,AEG29,ALB,2018,71.0,405.0,763.0,579.0,3992.0,3808.0,1220.0,3097.0,3603.0,2324.0,1141.0
179,AEG30,ALB,2018,210.5,303.0,619.0,362.0,4309.0,4171.0,1009.0,3262.0,3971.0,1784.0,790.0
180,AEG31,ALB,2018,122.0,490.0,801.5,677.0,3724.0,3644.5,1252.0,2888.0,3391.5,2378.0,1207.5
181,AEG32,ALB,2018,81.5,412.0,741.0,524.0,4210.0,4088.0,1160.0,3203.0,3865.0,2117.0,990.0
182,AEG33,ALB,2018,78.0,459.0,817.0,680.5,4003.0,3846.5,1344.5,3036.0,3590.0,2684.0,1349.0
183,AEG34,ALB,2018,103.0,425.0,753.5,567.5,4087.5,3855.5,1238.0,3140.5,3692.5,2468.5,1214.5
184,AEG35,ALB,2018,227.5,304.0,598.0,311.0,4743.0,4614.0,939.0,3433.0,4379.0,1806.0,801.0
