,ep,explo,year,biomass_g,blue,green,red,nir,nirb,re1,re2,re3,swir1,swir2
454,AEG05,ALB,2017,195.25,323,687,366,5081,4884,1133,3788,4705,1994,879
455,AEG06,ALB,2017,183.8,282,607,329,4809,4643,1029,3496,4392,1963,858
456,AEG07,ALB,2017,57.5,520,825,798,3179,2967,1384,2487,2791,2692,1483.5
457,AEG08,ALB,2017,65.65,484,821,737.5,3578,3352.5,1391.5,2778,3212,2616.5,1345
458,AEG09,ALB,2017,96.95,600,929,914,3528,3358,1524,2759,3162,2781,1497
459,AEG10,ALB,2017,165.2,507.5,844,756,3640.5,3447,1394,2819,3244,2673.5,1427.5
460,AEG11,ALB,2017,181.15,374,730,550,3888,3693,1227,2930,3527,2362,1192
461,AEG12,ALB,2017,123.1,336,704,390,4630,4498,1162,3643,4319,2031,935
462,AEG13,ALB,2017,289.7,279,620,280,5189,5102,1009,3847,4829,1839,773
463,AEG14,ALB,2017,138.75,321,743,408,5143,4979,1198.5,3968,4788.5,2010.5,885
464,AEG15,ALB,2017,189.45,299,650,351.5,4800,4648,1105.5,3633.5,4496,1963,913.5
465,AEG16,ALB,2017,149.9,348,748.5,421,4830,4593.5,1273.5,3772,4467.5,2004,895
466,AEG17,ALB,2017,114.4,403,832,541,4261,4048,1383,3414,3904,2234,1054
467,AEG18,ALB,2017,167.15,303.5,715.5,366,4924.5,4784.5,1183,3864,4632,1915.5,840
468,AEG19,ALB,2017,228.85,329,685,354,5017,4911,1146,3662,4558,2128,953
469,AEG20,ALB,2017,147.5,324,788,400,4801,4583,1367,3763,4404,2339,1097
470,AEG21,ALB,2017,187.85,280,627,348,4380.5,4184,1013,3345,4056,1836.5,834
471,AEG22,ALB,2017,109.1,416,779,542,4449,3976,1321,3524,4091,2354,1088
472,AEG23,ALB,2017,209.25,310,695,398.5,4182,3994.5,1204.5,3243.5,3805.5,1890,856
473,AEG24,ALB,2017,262.7,323.5,729,389.5,4987,4709,1223.5,3763,4575,2029,899
474,AEG25,ALB,2017,27.9,416,695.5,615.5,3230.5,2983.5,1245,2488,2857.5,2365,1243
475,AEG26,ALB,2017,92.55,462,786,738,3249,3065,1379,2546,2891,2736,1445
476,AEG27,ALB,2017,114,569.5,880.5,838,3302.5,3128.5,1478,2608.5,2952.5,2689.5,1482
477,AEG28,ALB,2017,68.2,577.5,904.5,902,3216.5,3094,1488,2556,2879.5,2921,1630.5
478,AEG29,ALB,2017,55.75,357,710,483,3792,3646,1221,3008,3442,2251,1075
479,AEG30,ALB,2017,118.55,305,691,398,3926,3857,1195,3150,3626,1982,909
480,AEG31,ALB,2017,89.1,306,669,395.5,3990.5,3872,1167,3197,3697.5,2052,960
481,AEG32,ALB,2017,88.4,588,950,933,3356,3237,1520,2687,3100,2806,1548
482,AEG33,ALB,2017,110.85,485,854.5,752.5,3577.5,3371.5,1475,2795,3189.5,2924.5,1524
483,AEG34,ALB,2017,119.55,334.5,742.5,445.5,4375,4201,1299,3474,4046,2198,987.5
484,AEG35,ALB,2017,182.05,322,675,402,4921,4709,1108,3630,4586,2048,979
485,AEG36,ALB,2017,109.8,299,618,331,4236,4058,1025,3184,3911,1894,881
486,AEG37,ALB,2017,333.3,312,676,364,5300,5159,1129,3922,4921,2012,893
487,AEG38,ALB,2017,113,275,594,363,4153,3998,1041,3128,3810,1905,862
488,AEG39,ALB,2017,265.5,303,680,341,5471,5372,1122,4103,5130,1948,855
489,AEG40,ALB,2017,73.3,344,758,442.5,4598.5,4494,1224.5,3636.5,4278,1956.5,896
490,AEG41,ALB,2017,166.6,304,657.5,358.5,4910.5,4758.5,1090.5,3697.5,4565,1836,811.5
491,AEG42,ALB,2017,117.8,353,722,478,4137,3904,1236,3197,3744,2140,1013
492,AEG43,ALB,2017,108.25,333.5,757,438,4588,4465,1271.5,3640.5,4288,2062.5,931
493,AEG44,ALB,2017,142.1,310.5,696.5,399.5,4217.5,4043.5,1153,3295,3901.5,1971.5,906
494,AEG45,ALB,2017,153.2,338,782.5,411.5,5142.5,5063,1304,4028.5,4801,2033,904.5
495,AEG46,ALB,2017,194.7,328,760,395,4729.5,4578.5,1252.5,3679,4361.5,2057.5,915.5
496,AEG47,ALB,2017,78.3,606,928,894,3298,3107,1467,2578,2941,2841,1565
497,AEG48,ALB,2017,44.1,574,858,857.5,2831.5,2640,1369.5,2238.5,2503.5,2761.5,1628.5
498,AEG49,ALB,2017,60.05,447,778,663.5,3605,3368.5,1337.5,2779.5,3231,2616,1336
499,AEG50,ALB,2017,218.4,363,771,401,5094,5007,1308,3960,4710,2027,905
500,HEG01,HAI,2017,93.6,343.5,720,411.5,4516,4398,1111,3423.5,4195,1902,901.5
501,HEG02,HAI,2017,63.8,346.5,682.5,410.5,4102.5,3969.5,1092,3162,3788.5,1921,899
502,HEG03,HAI,2017,173,349.5,705,457.5,4190,4039.5,1116.5,3202,3859.5,2005,930
503,HEG04,HAI,2017,188.85,339.5,705,466.5,4489,4225.5,1194,3312,4100,1972,975
504,HEG05,HAI,2017,49.9,287,626.5,338.5,4417.5,4259,1034.5,3412,4158.5,1774,810.5
505,HEG06,HAI,2017,88.25,230,588,247,4862,4797,983,3717,4620,1582,680
506,HEG07,HAI,2017,49.7,317.5,767,465,4317.5,4051,1274.5,3446,3987.5,1991,905
507,HEG08,HAI,2017,44.65,238,652,300,4734,4549,1112,3636,4390,1738,734
508,HEG09,HAI,2017,49.3,452,792,634,3393,3204,1331,2677,3072,2281,1161
509,HEG10,HAI,2017,55.2,263,642,311,4399,4266,1067,3347,4044,1711,727
510,HEG11,HAI,2017,22.45,354.5,694.5,495,3448,3256.5,1177,2680,3110.5,1999.5,984
511,HEG12,HAI,2017,79.15,324,716,387,4667,4497.5,1178,3545,4316,2234,1022
512,HEG13,HAI,2017,68.45,272,693,404,4764,4695,1159,3689,4443,1838,925
513,HEG14,HAI,2017,51.8,312,673,357,4479,4330,1117,3422,4160,1804,815
514,HEG15,HAI,2017,115.85,338,663,407,4276,4255,1102,3300,3949,2083,939
515,HEG16,HAI,2017,61.1,423,840,640,3704.5,3489.5,1381,2962.5,3360,2578,1317
516,HEG17,HAI,2017,28.55,469.5,829.5,687.5,3372.5,3262,1334.5,2721,3065,2426,1282
517,HEG18,HAI,2017,95.05,352,764,504,3732,3559,1247,2959,3435,2236,1115
518,HEG19,HAI,2017,72.15,407,786,532,4079,3860,1227,3179,3727,2193,1025
519,HEG20,HAI,2017,65.9,423,819,582,3899,3746.5,1386,3110.5,3565.5,2365,1219
520,HEG21,HAI,2017,47.35,347.5,701.5,451,3992,3843,1203.5,3120,3675.5,2123,978
521,HEG22,HAI,2017,157.75,301,657,343,4513,4359,1089,3440,4159,1741,771
522,HEG23,HAI,2017,66.85,416,855,550,4307,4161,1401,3446,3930,2082,967
523,HEG24,HAI,2017,92.9,322,682,351,4254,4181,1092,3357,3980,1776,796
524,HEG25,HAI,2017,69.55,334,689,467,3929,3705,1173,2985,3553,2001,936
525,HEG26,HAI,2017,48.1,378,760,507,3702,3507,1270,2927,3384,1918,937
526,HEG27,HAI,2017,251.9,215.5,491,249,3514.5,3418,811.5,2659,3282.5,1319,574
527,HEG28,HAI,2017,17.15,421,806,594,3519.5,3424,1318.5,2859.5,3227,2220.5,1128.5
528,HEG29,HAI,2017,59.95,469.5,824.5,664.5,3489,3299.5,1331.5,2788.5,3179.5,2324,1216.5
529,HEG30,HAI,2017,60.9,306,637,357,4353,4185,1052,3379,4065,1757,778
530,HEG31,HAI,2017,45.2,316.5,644.5,408,4060,3967,1146,3163.5,3741,2021.5,947.5
531,HEG32,HAI,2017,182.15,242,583,248,4819,4542,963,3574,4496,1593,652
532,HEG33,HAI,2017,118.65,308,699,395,4533.5,4343,1168.5,3396.5,4138.5,1926.5,896
533,HEG34,HAI,2017,48.65,223,552.5,231,4746,4691,924.5,3610,4556.5,1600,707
534,HEG35,HAI,2017,191.85,237,601,265,5518,5245,983,4025,5152,1666,715
535,HEG36,HAI,2017,33.2,335.5,704.5,466,3961,3772,1225.5,3050.5,3588.5,2136,981
536,HEG37,HAI,2017,59.45,320,688,420,4466,4274,1170,3313,4079.5,2089.5,959.5
537,HEG38,HAI,2017,41.35,348,806,395,5158,5073,1411,4124,4815,2054,926
538,HEG39,HAI,2017,48.25,337,781,406,4535,4300,1291,3570,4159,1976,903
