,explrtr,year,Qnum2,type,blue,green,red,nir,nirb,re1,re2,re3,swir1,swir2,month
347,ALB,2020,AEG03_02,grassland,289.5,619,389.5,3512,3372,1009.5,2689.5,3143.5,2021.5,932.5,9
348,ALB,2020,AEG03_04,grassland,287,626,386,3556,3434,1019,2726,3187,2011,939,9
349,ALB,2020,AEG03_09,grassland,409,713,584,2963,2856,1038,2311,2711,1779,958,9
350,ALB,2020,AEG31_02,grassland,464,860,607,3979,3810,1335,3097,3537,2729,1357,9
351,ALB,2020,AEG31_03,grassland,468,851,622,3929,3805,1317,3055,3510,2714,1348,9
352,ALB,2020,AEG31_04,grassland,468,851,622,3929,3805,1317,3055,3510,2714,1348,9
353,ALB,2020,AEG31_05,grassland,466,848,626,3911,3746,1312,3043,3485,2700,1342,9
354,ALB,2020,AEG31_06,grassland,466,848,626,3911,3746,1312,3043,3485,2700,1342,9
355,ALB,2020,AEG31_07,grassland,436,812,610,3788,3645,1281,2935,3378,2613,1297,9
356,ALB,2020,AEG31_08,grassland,436,812,610,3788,3645,1281,2935,3378,2613,1297,9
357,ALB,2020,AEG31_10,grassland,423,779,586,3764,3501,1276,2917,3353,2599,1289,9
358,ALB,2020,AEG35_04,grassland,296,623,345,4408,4348,969,3324,4136,2063,918,9
359,ALB,2020,AEG45_01,grassland,335,706.5,408,4105.5,4028,1144,3213,3777,2201.5,1049,9
360,ALB,2020,AEG45_02,grassland,355,735,432,4127,4064,1156,3233,3796,2214,1054,9
361,ALB,2020,AEG45_04,grassland,381,766,484,4033,3901,1225,3157,3674,2288,1094,9
362,ALB,2020,AEG08_02,grassland,444,798,581,3861,3703,1237,2946,3474,2533,1183,9
363,ALB,2020,AEG08_03,grassland,446,790,590,3838,3684,1241,2932,3446,2520,1176,9
364,ALB,2020,AEG08_05,grassland,445,785,583,3820,3651,1235,2916,3429,2499,1165,9
365,ALB,2020,AEG08_06,grassland,445,785,583,3820,3651,1235,2916,3429,2499,1165,9
366,ALB,2020,AEG08_07,grassland,479,835,628,3875,3707,1260,2947,3471,2484,1167,9
367,ALB,2020,AEG08_08,grassland,479,835,628,3875,3707,1260,2947,3471,2484,1167,9
368,ALB,2020,AEG08_09,grassland,475,827,619,3860,3694.5,1254.5,2941.5,3459.5,2460,1154.5,9
369,ALB,2020,AEG27_01,grassland,523,868,772,3637,3457,1385,2830,3255,2802,1429,9
370,ALB,2020,AEG11_02,grassland,375,737,451,3982,3996.5,1102,2997,3559.5,2104,1013,9
371,ALB,2020,AEG30_02,grassland,418,763,571,3754,3567,1218,2893,3410,2415,1232,9
372,ALB,2020,AEG32_03,grassland,348,599,461,3171,2878,1017,2365,2825,1805,839,9
373,ALB,2020,AEG32_04,grassland,348,599,461,3171,2878,1017,2365,2825,1805,839,9
374,ALB,2020,AEG32_05,grassland,325,541,388,2897,2711,869,2193,2606,1511,686,9
375,ALB,2020,AEG32_06,grassland,325,541,388,2897,2711,869,2193,2606,1511,686,9
376,ALB,2020,AEG32_07,grassland,353,588,464,3022,2871,963,2287,2706,1630,756,9
377,ALB,2020,AEG32_08,grassland,353,588,464,3022,2871,963,2287,2706,1630,756,9
378,ALB,2020,AEG34_08,grassland,380,628,428,3019,2772,992,2357,2718,1788,873,9
379,ALB,2020,AEG49_03,grassland,336,571,430,3189,2960,950,2379,2828,1902,865,9
