,explrtr,year,Qnum2,type,blue,green,red,nir,nirb,re1,re2,re3,swir1,swir2,month
1,ALB,2020,AEG20_02,grassland,451,1011,599,5304,5118,1579,4035,4764,2360,1107,6
2,ALB,2020,AEG20_03,grassland,423,952,596,5103,4914,1548,3893,4580,2301,1085,6
3,ALB,2020,AEG20_06,grassland,415,928,589,5001,4702,1528,3820,4486,2267,1072,6
4,ALB,2020,AEG20_07,grassland,373,884,552,4746,4629,1439,3634,4307,2275,1067,6
5,ALB,2020,AEG20_09,grassland,390.5,893.5,569,4734,4638,1431,3624,4294.5,2261,1060.5,6
6,ALB,2020,AEG20_10,grassland,408,903,586,4722,4647,1423,3614,4282,2247,1054,6
7,ALB,2020,AEG09_03,grassland,523,850,796,3434,3286,1405,2644,3017,2748.5,1437.5,6
8,ALB,2020,AEG09_09,grassland,483,782,726,3347,3185,1316,2588,2965,2649,1382,6
9,ALB,2020,AEG26_03,grassland,523,865,757,3604,3380,1376,2773,3180,2639,1305,6
10,ALB,2020,AEG26_04,grassland,523,865,757,3604,3380,1376,2773,3180,2639,1305,6
11,ALB,2020,AEG26_07,grassland,442,789,648,3636,3566,1275,2787,3219,2424,1171,6
12,ALB,2020,AEG47_02,grassland,550,931,804,3836,3553,1507,2984,3410,2783,1452,6
13,ALB,2020,AEG47_03,grassland,546,953,802,3860,3596,1516,2993,3428,2794,1465,6
14,ALB,2020,AEG47_05,grassland,560,978,832,3870,3642,1547,3012,3441,2860,1491,6
15,ALB,2020,AEG47_07,grassland,620,1034,912,3640,3470,1544,2846,3240,2898,1569,6
16,ALB,2020,AEG47_08,grassland,620,1034,912,3640,3470,1544,2846,3240,2898,1569,6
17,ALB,2020,AEG47_10,grassland,642,1046,946,3699,3494,1568,2891,3304,2914,1569,6
18,ALB,2020,AEG42_03,grassland,300,689,353,4443,4503,1097,3357,4091,1885,842,6
19,ALB,2020,AEG42_04,grassland,300,689,353,4443,4503,1097,3357,4091,1885,842,6
20,ALB,2020,AEG42_05,grassland,315,719,384,4367,4338,1154,3321,4005,1998,936,6
21,ALB,2020,AEG42_06,grassland,315,719,384,4367,4338,1154,3321,4005,1998,936,6
22,ALB,2020,AEG42_07,grassland,314,692,389,4413,4036,1140,3344,4001,2050,948,6
23,ALB,2020,AEG42_08,grassland,314,692,389,4413,4036,1140,3344,4001,2050,948,6
24,ALB,2020,AEG42_09,grassland,312.5,689.5,394,4355,3992,1138.5,3298.5,3970.5,2060.5,955,6
25,ALB,2020,AEG42_10,grassland,311,687,399,4297,3948,1137,3253,3940,2071,962,6
26,ALB,2020,AEG48_01,grassland,570.5,892,794,3284.5,3081.5,1407,2577,2922.5,2684,1489.5,6
27,ALB,2020,AEG48_03,grassland,593,910,826,3233,2994,1404,2537,2871,2683,1501,6
28,ALB,2020,AEG48_04,grassland,590,925,818,3327,3060,1436,2631,2960,2705,1490,6
29,ALB,2020,AEG48_05,grassland,590,925,818,3327,3060,1436,2631,2960,2705,1490,6
30,ALB,2020,AEG48_06,grassland,546,877,760,3326,3168,1446,2638,2960,2711,1493,6
31,ALB,2020,AEG48_08,grassland,545,880,743,3475,3277,1414,2745,3109,2656,1427,6
32,ALB,2020,AEG48_09,grassland,545,880,743,3475,3277,1414,2745,3109,2656,1427,6
33,ALB,2020,AEG48_10,grassland,538,876,735.5,3509.5,3322,1411,2770,3140,2652.5,1419.5,6
34,ALB,2020,AEG37_01,grassland,627,961,943,3984,3667,1481,2915,3468,3062,1702,6
35,ALB,2020,AEG37_03,grassland,633,965,938,3993,3694,1491,2919,3468,3106,1727,6
36,ALB,2020,AEG37_04,grassland,633,965,938,3993,3694,1491,2919,3468,3106,1727,6
37,ALB,2020,AEG37_05,grassland,634,968,919,4006,3796,1481,2934,3497,3073,1701,6
38,ALB,2020,AEG37_07,grassland,619,943,888,3997,3816,1471,2939,3523,3016,1666,6
39,ALB,2020,AEG37_10,grassland,517,849,791,3878,3690,1338,2901,3460,2688,1434,6
40,ALB,2020,AEG41_01,grassland,351,694,429,4402,4234,1106,3333,4019,2158,1021,6
41,ALB,2020,AEG10_01,grassland,447,802,632,4035,3741,1274,3062,3583,2698,1297,6
42,ALB,2020,AEG10_03,grassland,382,745,547,3937,3676,1229,2978,3475,2606,1258,6
43,ALB,2020,AEG10_04,grassland,382,745,547,3937,3676,1229,2978,3475,2606,1258,6
44,ALB,2020,AEG10_05,grassland,389,748,562,3898,3637,1229,2961,3447,2597,1254,6
45,ALB,2020,AEG10_07,grassland,408,757,591,3839,3596,1206,2924,3401,2541,1214,6
46,ALB,2020,AEG10_09,grassland,405,753,565,3828,3599,1205,2907,3379,2521,1204,6
47,ALB,2020,AEG10_10,grassland,405,753,565,3828,3599,1205,2907,3379,2521,1204,6
48,ALB,2020,AEG22_01,grassland,466,875,574,4442,4452,1366,3461,4026,2493,1191,6
49,ALB,2020,AEG22_02,grassland,409,819,468,4702,4487,1386,3617,4215,2529,1195,6
50,ALB,2020,AEG22_03,grassland,409,819,468,4702,4487,1386,3617,4215,2529,1195,6
51,ALB,2020,AEG22_06,grassland,458,960,508,4871,4759,1518,3810,4430,2820,1327,6
52,ALB,2020,AEG22_07,grassland,507,1047,588,4951,4994,1576,3884,4511,2919,1375,6
53,ALB,2020,AEG22_08,grassland,507,1047,588,4951,4994,1576,3884,4511,2919,1375,6
54,ALB,2020,AEG22_09,grassland,535,1069,658,4954,4913,1590,3924,4521,2949,1390,6
55,ALB,2020,AEG22_10,grassland,535,1069,658,4954,4913,1590,3924,4521,2949,1390,6
56,ALB,2020,AEG44_04,grassland,416,770,601,3732,3657,1230,2850,3338,2259,1131,6
57,ALB,2020,AEG44_05,grassland,339,715,461,4036,3834,1249,3080,3584,2198,1028,6
58,ALB,2020,AEG44_06,grassland,339,715,461,4036,3834,1249,3080,3584,2198,1028,6
59,ALB,2020,AEG44_07,grassland,339,715,461,4036,3834,1249,3080,3584,2198,1028,6
60,ALB,2020,AEG44_08,grassland,339,715,461,4036,3834,1249,3080,3584,2198,1028,6
61,ALB,2020,AEG07_02,grassland,442.5,821.5,652,3867,3620,1369.5,2978.5,3450,2620.5,1266.5,6
62,ALB,2020,AEG07_03,grassland,445,824,662,3862,3622,1369,2968,3445,2620,1265,6
63,ALB,2020,AEG07_05,grassland,461,846,664,3896,3690,1394,2983,3446,2668,1295,6
64,ALB,2020,AEG07_07,grassland,466,875,682,3952,3754,1408,3007,3470,2704,1312,6
65,ALB,2020,AEG07_08,grassland,466,875,682,3952,3754,1408,3007,3470,2704,1312,6
66,ALB,2020,AEG07_09,grassland,479,866,698,3906,3714,1404,2982,3451,2710,1323,6
67,ALB,2020,AEG07_10,grassland,435.5,810.5,639.5,3888.5,3682.5,1385,2983,3443.5,2705,1324,6
68,ALB,2020,AEG13_02,grassland,509.5,853,748.5,4010,3735.5,1400.5,2955.5,3518,2973,1610,6
69,ALB,2020,AEG13_05,grassland,672,1070,970,4323,4038,1717,3157,3710,3518,1990,6
70,ALB,2020,AEG13_06,grassland,672,1070,970,4323,4038,1717,3157,3710,3518,1990,6
71,ALB,2020,AEG13_07,grassland,663,1057,941,4302,3988,1722,3156,3697,3503,1988,6
72,ALB,2020,AEG13_08,grassland,663,1057,941,4302,3988,1722,3156,3697,3503,1988,6
73,ALB,2020,AEG13_09,grassland,645,1011,890,4279,3999,1689,3173,3717,3449,1949,6
74,ALB,2020,AEG13_10,grassland,645,1011,890,4279,3999,1689,3173,3717,3449,1949,6
75,ALB,2020,AEG15_01,grassland,443,859,506,5499,5354,1273,4149,5196,2208,1054,6
76,ALB,2020,AEG15_03,grassland,434,839.5,500.5,5545,5340,1275.5,4175,5237,2220.5,1058,6
77,ALB,2020,AEG15_05,grassland,425,820,495,5591,5326,1278,4201,5278,2233,1062,6
78,ALB,2020,AEG15_06,grassland,409,781,443,5614,5389,1234,4152,5275,2236,1052,6
79,ALB,2020,AEG15_07,grassland,409,781,443,5614,5389,1234,4152,5275,2236,1052,6
80,ALB,2020,AEG15_08,grassland,415,803,463,5630,5289,1260,4198,5296,2263,1066,6
81,ALB,2020,AEG15_09,grassland,415,803,463,5630,5289,1260,4198,5296,2263,1066,6
82,ALB,2020,AEG15_10,grassland,418,802,457,5732,5637,1269,4253,5397,2297,1081,6
83,ALB,2020,AEG46_01,grassland,368,758,439,4347,4218,1196,3319,3950,2085,960,6
84,ALB,2020,AEG46_03,grassland,367,764,444,4571,4370,1227,3414,4147,2160,1002,6
85,ALB,2020,AEG46_04,grassland,367,764,444,4571,4370,1227,3414,4147,2160,1002,6
86,ALB,2020,AEG46_05,grassland,383,797,479,4955,4851,1311,3663,4481,2330,1078,6
87,ALB,2020,AEG46_06,grassland,383,797,479,4955,4851,1311,3663,4481,2330,1078,6
88,ALB,2020,AEG46_07,grassland,393,801,498.5,4935,4812,1311.5,3634,4461,2329,1083.5,6
89,ALB,2020,AEG46_08,grassland,403,805,518,4915,4773,1312,3605,4441,2328,1089,6
90,ALB,2020,AEG46_09,grassland,403,805,518,4915,4773,1312,3605,4441,2328,1089,6
91,ALB,2020,AEG46_10,grassland,382,749,506,4567,4374,1242,3332,4112,2162,1033,6
92,ALB,2020,AEG06_03,grassland,526,733,695,3181,2716,1097,2270,2793,1873,1124,6
93,ALB,2020,AEG06_04,grassland,526,733,695,3181,2716,1097,2270,2793,1873,1124,6
94,ALB,2020,AEG06_05,grassland,532,700,627,3148,2735,1059,2220,2744,1835,1088,6
95,ALB,2020,AEG06_06,grassland,532,700,627,3148,2735,1059,2220,2744,1835,1088,6
96,ALB,2020,AEG06_07,grassland,450,684,591,2890,2648,909,2105,2595,1529,882,6
97,ALB,2020,AEG06_08,grassland,450,684,591,2890,2648,909,2105,2595,1529,882,6
98,ALB,2020,AEG06_09,grassland,404,704,625,3830,3656,1169,2792,3416,2353,1232,6
99,ALB,2020,AEG06_10,grassland,404,704,625,3830,3656,1169,2792,3416,2353,1232,6
100,ALB,2020,AEG25_05,grassland,370,705,533,4023,3807,1207,3002,3517,2339,1102,6
101,ALB,2020,AEG25_08,grassland,237,515,310,3909,3746,986,2866,3433,2066,984,6
102,ALB,2020,AEG16_03,grassland,412,820,590,3951,3803,1365,3081,3539,2510,1263,6
103,ALB,2020,AEG16_04,grassland,417,821,580,4022,3875,1368,3121,3586,2524,1258,6
104,ALB,2020,AEG16_05,grassland,417,821,580,4022,3875,1368,3121,3586,2524,1258,6
105,ALB,2020,AEG16_06,grassland,468,877,620,4192,4057,1431,3263,3756,2587,1283,6
106,ALB,2020,AEG16_07,grassland,468,877,620,4192,4057,1431,3263,3756,2587,1283,6
107,ALB,2020,AEG16_08,grassland,410,805,584,3961,3724,1349,3066,3524,2501,1252,6
108,ALB,2020,AEG16_09,grassland,410,805,584,3961,3724,1349,3066,3524,2501,1252,6
109,ALB,2020,AEG16_10,grassland,410,805,584,3961,3724,1349,3066,3524,2501,1252,6
110,ALB,2020,AEG17_03,grassland,343,762.5,462.5,4661,4484,1268.5,3559.5,4197.5,2161.5,954,6
111,ALB,2020,AEG17_04,grassland,335,767,453,4641,4507,1256,3541,4174,2145,943,6
112,ALB,2020,AEG17_05,grassland,336,779,450,4609,4643,1228,3542,4140,2120,939,6
113,ALB,2020,AEG17_06,grassland,336,779,450,4609,4643,1228,3542,4140,2120,939,6
114,ALB,2020,AEG17_08,grassland,345,778,451,4601,4581,1229,3520,4142,2125,945,6
115,ALB,2020,AEG17_09,grassland,328,705,444,4374,4235,1183,3340,3923,2162,975,6
