,plot id,Useful_PlotID,Exploratory,Qnum,month,year,date_releves,m from south corner,SpecRich,LAI_field,S2_timestep,mowing date,biomass_g,biomass_gm2,Grass_percent_cover,Forb_percent_cover,Legumes_percent_cover,Bare_percent_cover,Litter_percent_cover,Moss_percent_cover,Senescent_percent_cover,Moribund_percent_cover,Dung_percent_cover,Shrub_percent_cover,Green_veg_percent_cover,Grass_height,Forbs_height,Legumes_height,RPM,comments_quadrat,comments_plot,date_uav,UAV,time_UAV,green,red,rededge,nir,RAOsQ
25,AEG3,AEG03,ALB,AEG03_06,6,2020,15.06.2020,28.5,24,2.68,20200621,,,,31,35,20,1,4,,5,4,,,86,33,26,10,21.8,,,15.06.2020,Bluegrass,14:00,513,309,1894.5,2989.5,0.533331767
26,AEG3,AEG03,ALB,AEG03_07,6,2020,15.06.2020,33,24,3.3,20200621,,,,44,35,10,,3,,5,3,,,89,28,20,15,15.2,,,15.06.2020,Bluegrass,14:00,541.5,322.5,1962,3049,0.562901597
27,AEG3,AEG03,ALB,AEG03_08,6,2020,15.06.2020,37.5,24,3.06,20200621,,,,45,34,12,,4,,3,2,,,91,28,15,15,13.2,,,15.06.2020,Bluegrass,14:00,580,312.5,2118,3268,0.560321564
28,AEG3,AEG03,ALB,AEG03_09,6,2020,15.06.2020,42,24,3.75,20200621,,90.32,250.8888889,40,30,20,0.1,4.9,,4,1,,,90,32,18,18,22.4,,,15.06.2020,Bluegrass,14:00,543,304,2062,3297,0.736989055
29,AEG3,AEG03,ALB,AEG03_10,6,2020,15.06.2020,46,24,4.01,20200621,,,,30,31,30,0.1,4.9,,3,1,,,91,40,30,17,25,,,15.06.2020,Bluegrass,14:00,543,304,2119,3309,0.586498681
30,AEG4,AEG04,ALB,AEG04_01,6,2020,19.06.2020,6,18,,20200621,,,,73,6,5,7,,,5,4,,,84,53,24,10,29.8,,rain=>no LAI nor UAV,19.06.2020,Bluegrass,,,,,,
31,AEG4,AEG04,ALB,AEG04_02,6,2020,19.06.2020,10.5,18,,20200621,,109.72,304.7777778,40,29,15,4,4,,8,,,,84,44,41,21,28.2,,grass bent over. Might be problematic for the RPM,19.06.2020,Bluegrass,,,,,,
32,AEG4,AEG04,ALB,AEG04_03,6,2020,19.06.2020,15,18,,20200621,,,,54,25,9,1,4,,7,,,,88,43,23,19,26.8,,used for grazing but not recently,19.06.2020,Bluegrass,,,,,,
33,AEG4,AEG04,ALB,AEG04_04,6,2020,19.06.2020,19.5,18,,20200621,,,,46,20,21,2,,,8,3,,,87,47,27,17,26.4,,grass covers other plants. Might be problematic for cover estimations.,19.06.2020,Bluegrass,,,,,,
34,AEG4,AEG04,ALB,AEG04_05,6,2020,19.06.2020,24,18,,20200621,,144.97,402.6944444,40,16,6,3,,,35,,,,62,46,21,21,35.6,,Quadrats on western side,19.06.2020,Bluegrass,,,,,,
35,AEG4,AEG04,ALB,AEG04_06,6,2020,19.06.2020,28.5,18,,20200621,,,,44,16,16,,,,20,4,,,76,48,28,17,25.6,,,19.06.2020,Bluegrass,,,,,,
36,AEG4,AEG04,ALB,AEG04_07,6,2020,19.06.2020,33,18,,20200621,,,,44,16,3,2,,,35,,,,63,47,17,12,33.6,,,19.06.2020,Bluegrass,,,,,,
37,AEG4,AEG04,ALB,AEG04_08,6,2020,19.06.2020,37.5,18,,20200621,,,,68,12,2,,,,18,,,,82,43,28,23,26.4,,,19.06.2020,Bluegrass,,,,,,
38,AEG4,AEG04,ALB,AEG04_09,6,2020,19.06.2020,42,18,,20200621,,307.46,854.0555556,80,,,,,,20,,,,80,50,,,27.2,,,19.06.2020,Bluegrass,,,,,,
39,AEG4,AEG04,ALB,AEG04_10,6,2020,19.06.2020,46,18,,20200621,,,,47,3,,,,,50,,,,50,35,56,,24.6,,,19.06.2020,Bluegrass,,,,,,
40,AEG5,AEG05,ALB,AEG05_01,6,2020,16.06.2020,6,17,4.7,20200621,,,,48,40,3,,6,,1,2,,,91,50,22,15,30.4,,rainy during flight,16.06.2020,Bluegrass,15:00,,,,,
41,AEG5,AEG05,ALB,AEG05_02,6,2020,16.06.2020,10.5,17,4.57,20200621,,126.4,351.1111111,52,40,3,2,3,,,,,,95,50,50,20,32.8,,,16.06.2020,Bluegrass,15:00,,,,,
42,AEG5,AEG05,ALB,AEG05_03,6,2020,16.06.2020,15,17,4.34,20200621,,,,25,48,5,12,5,,,5,,,78,58,45,15,31.6,Ant hive,,16.06.2020,Bluegrass,15:00,,,,,
43,AEG5,AEG05,ALB,AEG05_04,6,2020,16.06.2020,19.5,17,4.63,20200621,,,,44,40,,4,9,,1,2,,,84,57,55,,35.8,,,16.06.2020,Bluegrass,15:00,,,,,
44,AEG5,AEG05,ALB,AEG05_05,6,2020,16.06.2020,24,17,4.7,20200621,,115.99,322.1944444,53,24,8,9,4,,1,1,,,85,60,33,11,30.2,,,16.06.2020,Bluegrass,15:00,,,,,
45,AEG5,AEG05,ALB,AEG05_06,6,2020,16.06.2020,28.5,17,4.51,20200621,,,,40,50,1,,9,,,,,,91,70,34,40,33.6,,,16.06.2020,Bluegrass,15:00,,,,,
46,AEG5,AEG05,ALB,AEG05_07,6,2020,16.06.2020,33,17,4.57,20200621,,,,54,30,,1,10,,3,2,,,84,66,34,,29.8,,,16.06.2020,Bluegrass,15:00,,,,,
47,AEG5,AEG05,ALB,AEG05_08,6,2020,16.06.2020,37.5,17,3.38,20200621,,,,40,21,4,18,11,,,6,,,65,55,25,21,29.4,,,16.06.2020,Bluegrass,15:00,,,,,
48,AEG5,AEG05,ALB,AEG05_09,6,2020,16.06.2020,42,17,3.52,20200621,,79.76,221.5555556,45,35,2,,11,1,1,5,,,82,60,25,12,24.4,,,16.06.2020,Bluegrass,15:00,,,,,
49,AEG5,AEG05,ALB,AEG05_10,6,2020,16.06.2020,46,17,4.23,20200621,,,,47,40,1,,6,,,6,,,88,70,44,12,34.4,,,16.06.2020,Bluegrass,15:00,,,,,
50,AEG6,AEG06,ALB,AEG06_01,6,2020,16.06.2020,6,16,2.72,20200621,,,,48,10,10,10,7,,15,,,,68,30,20,10,21.4,,lower right gcp is too to the north,16.06.2020,Bluegrass,10:00,488.5,364,1749,2477,0.798028748
51,AEG6,AEG06,ALB,AEG06_02,6,2020,16.06.2020,10.5,16,3.65,20200621,,85,236.1111111,39,30,1,15,5,,10,,,,70,33,33,12,18.8,,we start counting backwards from upper right,16.06.2020,Bluegrass,10:00,495,365,1803,2539,0.877807515
52,AEG6,AEG06,ALB,AEG06_03,6,2020,16.06.2020,15,16,3.02,20200621,,,,40,26,1,15,3,,15,,,,67,32,20,5,26,,recently rained,16.06.2020,Bluegrass,10:00,516,325,2031,2928.5,0.959713482
53,AEG6,AEG06,ALB,AEG06_04,6,2020,16.06.2020,19.5,16,3.02,20200621,,,,43,25,,10,1.9,,20,0.1,,,68,32,20,,25.8,,slope ns 2%,16.06.2020,Bluegrass,10:00,510.5,342.5,1976.5,2830.5,0.999815922
54,AEG6,AEG06,ALB,AEG06_05,6,2020,16.06.2020,24,16,2.53,20200621,,77.9,216.3888889,44,22,1,15,2.9,,15,0.1,,,67,30,17,9,24.2,,,16.06.2020,Bluegrass,10:00,525,364,1996.5,2842.5,0.909756273
55,AEG6,AEG06,ALB,AEG06_06,6,2020,16.06.2020,28.5,16,3.25,20200621,,,,16,18,3,15,3,,45,,,,37,57,26,13,31.8,,,16.06.2020,Bluegrass,10:00,581,454,2136,3007,1.067893727
