"","explrtr","year","Qnum2","type","blue","green","red","nir","nirb","re1","re2","re3","swir1","swir2","month"
"1","HAI","2020","HEG27_02","grassland",297,579.5,402,3544.5,3301,995.5,2647.5,3206,1834.5,866,"06"
"2","HAI","2020","HEG27_04","grassland",286,569,381,3511,3318.5,975,2608,3163,1829.5,848,"06"
"3","HAI","2020","HEG27_07","grassland",282,573.5,364,3706,3537,985.5,2760,3366,1820,837,"06"
"4","HAI","2020","HEG27_10","grassland",313,630,390,3877,3807,1017,2899,3521,1844,848,"06"
"5","HAI","2020","HEG26_02","grassland",430,756.5,598.5,3477,3257.5,1243.5,2622,3070.5,2253.5,1143,"06"
"6","HAI","2020","HEG46_01","grassland",473,782.5,746,3184,2965,1294,2450,2823.5,2681,1388.5,"06"
"7","HAI","2020","HEG46_04","grassland",482,799,765,3299,3100,1329,2536,2915,2759,1424,"06"
"8","HAI","2020","HEG46_05","grassland",482,799,765,3299,3100,1329,2536,2915,2759,1424,"06"
"9","HAI","2020","HEG46_07","grassland",488,809,764,3362,3120,1312,2578,2971,2717,1387,"06"
"10","HAI","2020","HEG46_10","grassland",493,810,779,3293,3097,1291,2530,2905,2704,1381,"06"
"11","HAI","2020","HEG49_05","grassland",433,752,484,4143,3964,1243,3164,3789,1921,903,"06"
"12","HAI","2020","HEG49_07","grassland",429,753,499,4046,3873,1237,3117,3683,1937,885,"06"
"13","HAI","2020","HEG49_10","grassland",413,772,484,4189,3993,1256,3193,3797,1962,862,"06"
"14","HAI","2020","HEG21_01","grassland",425,763,615,3838,3629,1293,2904,3441,2209,1060,"06"
"15","HAI","2020","HEG21_08","grassland",443,800,629,3799,3611,1328,2915,3430,2390,1186,"06"
"16","HAI","2020","HEG21_10","grassland",487,860,706,3764,3495,1369,2901,3395,2440,1223,"06"
"17","HAI","2020","HEG23_03","grassland",407,697,530,3334,3112,1148,2547,2984,1951,943,"06"
"18","HAI","2020","HEG23_05","grassland",419,719,550,3421,3250,1163,2612,3066,1972,953,"06"
"19","HAI","2020","HEG23_06","grassland",419,719,550,3421,3250,1163,2612,3066,1972,953,"06"
"20","HAI","2020","HEG23_07","grassland",408,723,544,3527,3363,1184,2702,3173,2017,973,"06"
"21","HAI","2020","HEG23_09","grassland",398.5,712.5,529,3536.5,3378,1178.5,2700.5,3183,2006.5,964,"06"
"22","HAI","2020","HEG25_02","grassland",487,816,770,3230,3126,1219,2437,2876,2254,1242,"06"
"23","HAI","2020","HEG25_04","grassland",495,826,768,3225,3113,1260,2449,2880,2345,1286,"06"
"24","HAI","2020","HEG25_05","grassland",482,803,740,3198,3078,1222,2427,2857,2282,1254,"06"
"25","HAI","2020","HEG25_06","grassland",482,803,740,3198,3078,1222,2427,2857,2282,1254,"06"
"26","HAI","2020","HEG25_07","grassland",466,780.5,714.5,3169,3076,1193,2397.5,2833,2226,1225,"06"
