"","explrtr","year","Qnum2","type","blue","green","red","nir","nirb","re1","re2","re3","swir1","swir2","month"
"111","HAI","2021","HEG04_02","grassland",307,648,393,3656,3467,1020,2793,3314,1890,867,"09"
"112","HAI","2021","HEG04_03","grassland",313,641,382,3746,3577,1023,2871,3400,1904,866,"09"
"113","HAI","2021","HEG04_04","grassland",313,641,382,3746,3577,1023,2871,3400,1904,866,"09"
"114","HAI","2021","HEG04_05","grassland",304,625,354,3846,3667,1018,2947,3498,1898,850,"09"
"115","HAI","2021","HEG04_06","grassland",304,625,354,3846,3667,1018,2947,3498,1898,850,"09"
"116","HAI","2021","HEG04_07","grassland",299.5,628,350.5,3897,3690,1018,2986.5,3549.5,1896,846,"09"
"117","HAI","2021","HEG04_08","grassland",295,631,347,3948,3713,1018,3026,3601,1894,842,"09"
"118","HAI","2021","HEG04_09","grassland",295,631,347,3948,3713,1018,3026,3601,1894,842,"09"
"119","HAI","2021","HEG04_10","grassland",294,645,339,4169,3992,1020,3215,3842,1886,830,"09"
"120","HAI","2021","HEG18_03","grassland",525,883,822,3230,3123,1368,2540,2890,2683,1453,"09"
"121","HAI","2021","HEG18_04","grassland",525,883,822,3230,3123,1368,2540,2890,2683,1453,"09"
"122","HAI","2021","HEG18_05","grassland",518,874,810,3264,3108,1393,2566,2919,2748,1492,"09"
"123","HAI","2021","HEG18_06","grassland",518,874,810,3264,3108,1393,2566,2919,2748,1492,"09"
"124","HAI","2021","HEG18_07","grassland",519,899,818,3284,3122,1398,2588,2938,2771,1508,"09"
"125","HAI","2021","HEG18_08","grassland",519,899,818,3284,3122,1398,2588,2938,2771,1508,"09"
"126","HAI","2021","HEG18_09","grassland",529.5,906.5,840,3285,3148,1407,2593.5,2937.5,2786.5,1522.5,"09"
"127","HAI","2021","HEG18_10","grassland",540,914,862,3286,3174,1416,2599,2937,2802,1537,"09"
"128","HAI","2021","HEG19_03","grassland",437,832,635,3865,3639,1346,2889,3372,2529,1252,"09"
"129","HAI","2021","HEG19_04","grassland",423,807,600,3835,3566,1292,2918,3372,2408,1169,"09"
"130","HAI","2021","HEG19_05","grassland",423,807,600,3835,3566,1292,2918,3372,2408,1169,"09"
"131","HAI","2021","HEG19_06","grassland",396,784,549,3807,3536,1278,2911,3341,2371,1146,"09"
"132","HAI","2021","HEG19_07","grassland",396,784,549,3807,3536,1278,2911,3341,2371,1146,"09"
"133","HAI","2021","HEG19_08","grassland",382,798,480,4290,3971,1276,3315,3834,2275,1056,"09"
"134","HAI","2021","HEG02_03","grassland",366,700,530,2980,2815,1164,2326,2620,2386,1240,"09"
"135","HAI","2021","HEG02_04","grassland",366,700,530,2980,2815,1164,2326,2620,2386,1240,"09"
"136","HAI","2021","HEG02_05","grassland",404,753,600,3241,3106,1278,2519,2857,2483,1299,"09"
"137","HAI","2021","HEG02_06","grassland",404,753,600,3241,3106,1278,2519,2857,2483,1299,"09"
"138","HAI","2021","HEG02_09","grassland",443.5,806,705,3223,3086.5,1276,2495.5,2820,2446.5,1278,"09"
"139","HAI","2021","HEG02_10","grassland",452,811,729,3288,3081,1283,2541,2857,2397,1238,"09"
"140","HAI","2021","HEG20_05","grassland",430,838,560,4149,3888,1398,3192,3703,2305,1127,"09"
"141","HAI","2021","HEG20_08","grassland",430,820,588,3969,3686,1382,3060,3530,2343,1162,"09"
"142","HAI","2021","HEG20_09","grassland",437,830,617,4012,3794,1379,3079,3572,2364,1173,"09"
"143","HAI","2021","HEG20_10","grassland",437,830,617,4012,3794,1379,3079,3572,2364,1173,"09"
"144","HAI","2021","HEG22_01","grassland",345,801,473,4110,3879,1352,3201,3699,2228,1055,"09"
"145","HAI","2021","HEG22_03","grassland",353,831,490,4183,4046,1354,3263,3802,2228,1049,"09"
"146","HAI","2021","HEG22_04","grassland",353,831,490,4183,4046,1354,3263,3802,2228,1049,"09"
"147","HAI","2021","HEG22_05","grassland",361,832,499,4204,3980,1394,3308,3801,2292,1092,"09"
"148","HAI","2021","HEG22_06","grassland",361,832,499,4204,3980,1394,3308,3801,2292,1092,"09"
"149","HAI","2021","HEG22_07","grassland",463,878,682,3925,3703,1460,3004,3445,2723,1422,"09"
"150","HAI","2021","HEG22_08","grassland",463,878,682,3925,3703,1460,3004,3445,2723,1422,"09"
"151","HAI","2021","HEG22_10","grassland",471,881,683,3969,3745,1467,3039,3489,2719,1420,"09"
