"","explrtr","year","Qnum2","type","blue","green","red","nir","nirb","re1","re2","re3","swir1","swir2","month"
"1","HAI","2021","HEG27_02","grassland",209.5,523,258,4099,3954,904,3037,3784,1482,645.5,"06"
"2","HAI","2021","HEG27_04","grassland",194,491,236,4062.5,3821,911.5,3018.5,3715.5,1484.5,639,"06"
"3","HAI","2021","HEG27_07","grassland",186.5,488.5,224,4163,3947,906.5,3079.5,3799,1495.5,647.5,"06"
"4","HAI","2021","HEG27_10","grassland",198,536,237,4320,4256,927,3195,3963,1559,680,"06"
"5","HAI","2021","HEG26_02","grassland",301,650,368.5,3840.5,3754,1091,3013,3508,1803,831,"06"
"6","HAI","2021","HEG46_01","grassland",529,820,842.5,2956,2766,1374,2298,2603.5,2645.5,1435,"06"
"7","HAI","2021","HEG46_04","grassland",461,758,786,3061,2805,1382,2380,2700,2740,1474,"06"
"8","HAI","2021","HEG46_05","grassland",461,758,786,3061,2805,1382,2380,2700,2740,1474,"06"
"9","HAI","2021","HEG46_07","grassland",466,763,791,3001,2785,1340,2321,2649,2721,1465,"06"
"10","HAI","2021","HEG46_10","grassland",516,774,799,2680,2528,1233,2069,2383,2426,1326,"06"
"11","HAI","2021","HEG49_05","grassland",442,911,652,4092,3898,1494,3184,3652,2593,1336,"06"
"12","HAI","2021","HEG49_07","grassland",444,903,649,4034,3815,1465,3134,3608,2555,1307,"06"
"13","HAI","2021","HEG49_10","grassland",450,911,622,4095,3871,1479,3176,3655,2547,1298,"06"
"14","HAI","2021","HEG21_01","grassland",331,679,459,3747,3526,1111,2900,3420,1947,934,"06"
"15","HAI","2021","HEG21_08","grassland",361,767,498,3805,3711,1252,3035,3475,2086,1013,"06"
"16","HAI","2021","HEG21_10","grassland",392,826,557,3830,3660,1316,3078,3486,2120,1043,"06"
"17","HAI","2021","HEG23_03","grassland",345,779,501,3950,3858,1237,3165,3621,1949,957,"06"
"18","HAI","2021","HEG23_05","grassland",347,768,491,3975,3880,1228,3199,3662,1958,956,"06"
"19","HAI","2021","HEG23_06","grassland",347,768,491,3975,3880,1228,3199,3662,1958,956,"06"
"20","HAI","2021","HEG23_07","grassland",326,737,461,3970,3834,1196,3204,3661,1958,947,"06"
"21","HAI","2021","HEG23_09","grassland",316.5,720,444.5,3988.5,3821.5,1194,3207.5,3671.5,1967.5,949.5,"06"
"22","HAI","2021","HEG25_02","grassland",290,623,411,3776,3612,1001,2769,3417,1494,699,"06"
"23","HAI","2021","HEG25_04","grassland",300,632,428,3766,3580,1013,2766,3404,1526,714,"06"
"24","HAI","2021","HEG25_05","grassland",302,632,427,3735,3567,990,2736,3383,1509,705,"06"
"25","HAI","2021","HEG25_06","grassland",302,632,427,3735,3567,990,2736,3383,1509,705,"06"
"26","HAI","2021","HEG25_07","grassland",295.5,621.5,414.5,3740,3606,989.5,2751.5,3390.5,1507.5,705,"06"
"27","HAI","2021","HEG25_08","grassland",289,611,402,3745,3645,989,2767,3398,1506,705,"06"
"28","HAI","2021","HEG30_01","grassland",256,583,299,4667,4480,999,3578,4337,1672,734,"06"
"29","HAI","2021","HEG30_04","grassland",273,618,318,4646,4555,1037,3576,4270,1703,743,"06"
"30","HAI","2021","HEG30_06","grassland",274,605,322,4560,4471,1025,3499,4186,1706,748,"06"
"31","HAI","2021","HEG30_07","grassland",274,605,322,4560,4471,1025,3499,4186,1706,748,"06"
"32","HAI","2021","HEG30_08","grassland",282.5,612.5,331,4546,4428,1030,3483,4172,1716.5,756,"06"
"33","HAI","2021","HEG30_09","grassland",291,620,340,4532,4385,1035,3467,4158,1727,764,"06"
"34","HAI","2021","HEG30_10","grassland",291,620,340,4532,4385,1035,3467,4158,1727,764,"06"
"35","HAI","2021","HEG43_03","grassland",365,723,494,3729,3503,1219,2897,3359,2004,957,"06"
"36","HAI","2021","HEG43_04","grassland",365,723,494,3729,3503,1219,2897,3359,2004,957,"06"
"37","HAI","2021","HEG43_06","grassland",366,723,490,3773,3562,1222,2950,3409,1938,924,"06"
"38","HAI","2021","HEG43_09","grassland",361,758,478,3898,3760,1201,3067,3577,1770,844,"06"
