,explrtr,year,Qnum2,type,blue,green,red,nir,nirb,re1,re2,re3,swir1,swir2,month
1,ALB,2021,AEG20_02,grassland,423,859,471,4112,4275,1206,3193,3701,2037,993,9
2,ALB,2021,AEG20_03,grassland,396,850,482,4415,4360,1298,3478,4033,2185,1064,9
3,ALB,2021,AEG20_06,grassland,373,776,431,4252,3973,1248,3330,3848,2118,1029,9
4,ALB,2021,AEG20_07,grassland,373,809,426,4447,4167,1280,3452,4064,2243,1066,9
5,ALB,2021,AEG20_09,grassland,374,817,427.5,4482,4268,1276.5,3479,4089.5,2250.5,1064.5,9
6,ALB,2021,AEG20_10,grassland,375,825,429,4517,4369,1273,3506,4115,2258,1063,9
7,ALB,2021,AEG09_03,grassland,404,766.5,573,3706.5,3552.5,1292.5,2851.5,3303.5,2420,1168,9
8,ALB,2021,AEG09_09,grassland,389,715,544,3621,3460,1234,2766,3194,2388,1141,9
9,ALB,2021,AEG26_03,grassland,343,644,501,3394,3182,1096,2560,2982,2151,1001,9
10,ALB,2021,AEG26_04,grassland,343,644,501,3394,3182,1096,2560,2982,2151,1001,9
11,ALB,2021,AEG26_07,grassland,296,599,418,3481,3425,1006,2611,3095,1980,894,9
12,ALB,2021,AEG47_02,grassland,375,700,516,3493,3296,1158,2670,3095,2170,1043,9
13,ALB,2021,AEG47_03,grassland,372,711,521,3531,3298,1183,2686,3124,2208,1069,9
14,ALB,2021,AEG47_05,grassland,394,727,535,3546,3321,1198,2704,3133,2230,1087,9
15,ALB,2021,AEG47_07,grassland,454,786,606,3298,3126,1208,2527,2895,2300,1160,9
16,ALB,2021,AEG47_08,grassland,454,786,606,3298,3126,1208,2527,2895,2300,1160,9
17,ALB,2021,AEG47_10,grassland,480,813,637,3323,3114,1209,2551,2920,2284,1151,9
18,ALB,2021,AEG42_03,grassland,246,534,230,2889,3099,719,2224,2636,1249,567,9
19,ALB,2021,AEG42_04,grassland,246,534,230,2889,3099,719,2224,2636,1249,567,9
20,ALB,2021,AEG42_05,grassland,313,682,324,4107,4048,1067,3225,3807,1781,839,9
21,ALB,2021,AEG42_06,grassland,313,682,324,4107,4048,1067,3225,3807,1781,839,9
22,ALB,2021,AEG42_07,grassland,305,724,357,4234,4116,1096,3295,3896,1842,862,9
23,ALB,2021,AEG42_08,grassland,305,724,357,4234,4116,1096,3295,3896,1842,862,9
24,ALB,2021,AEG42_09,grassland,317,728.5,363,4391.5,4194.5,1142,3434.5,4069.5,1930,898.5,9
25,ALB,2021,AEG42_10,grassland,329,733,369,4549,4273,1188,3574,4243,2018,935,9
26,ALB,2021,AEG48_01,grassland,368,676,510,3092,2908.5,1160.5,2377,2720.5,2285.5,1141,9
27,ALB,2021,AEG48_03,grassland,383,690,525,3024,2807,1141,2328,2665,2241,1119,9
28,ALB,2021,AEG48_04,grassland,389,681,536,3026,2759,1135,2337,2662,2235,1116,9
29,ALB,2021,AEG48_05,grassland,389,681,536,3026,2759,1135,2337,2662,2235,1116,9
30,ALB,2021,AEG48_06,grassland,346,645,482,3072,2903,1130,2385,2714,2202,1083,9
31,ALB,2021,AEG48_08,grassland,345,654,472,3146,2992,1129,2452,2790,2195,1064,9
32,ALB,2021,AEG48_09,grassland,345,654,472,3146,2992,1129,2452,2790,2195,1064,9
33,ALB,2021,AEG48_10,grassland,343.5,651,468,3184,3028.5,1130,2482,2830,2187,1053.5,9
34,ALB,2021,AEG37_01,grassland,338,739,423,4709,4422,1237,3540,4289,2334,1138,9
35,ALB,2021,AEG37_03,grassland,328,739,423,4596,4370,1221,3455,4182,2311,1127,9
36,ALB,2021,AEG37_04,grassland,328,739,423,4596,4370,1221,3455,4182,2311,1127,9
37,ALB,2021,AEG37_05,grassland,325,743,421,4658,4398,1222,3480,4226,2302,1124,9
38,ALB,2021,AEG37_07,grassland,331,729,417,4622,4367,1204,3446,4186,2260,1100,9
39,ALB,2021,AEG37_10,grassland,313,704,395,4350,4202,1179,3267,3924,2205,1073,9
40,ALB,2021,AEG41_01,grassland,278,699,290,4522,4356,1102,3588,4245,1950,868,9
41,ALB,2021,AEG10_01,grassland,410,783,582,4251,3993,1256,3195,3756,2481,1184,9
42,ALB,2021,AEG10_03,grassland,364,724,535,4058,3802,1194,3069,3597,2387,1135,9
43,ALB,2021,AEG10_04,grassland,364,724,535,4058,3802,1194,3069,3597,2387,1135,9
44,ALB,2021,AEG10_05,grassland,333,679,466,4082,3809,1171,3082,3627,2333,1099,9
45,ALB,2021,AEG10_07,grassland,335,668,449,4034,3801,1142,3045,3590,2308,1082,9
46,ALB,2021,AEG10_09,grassland,325,663,442,4014,3782,1128,3039,3580,2270,1057,9
